Dimension,Device,n,Accuracy,T-INV (or Z-Inv),STDEV,P,U
F,Micrometer,1,0.013,1.959963986,0.004113895712,0.008063087439,0.01529749584
F,Micrometer,2,0.013,12.70620474,0.001414213562,0.01270620474,0.0181782188
F,Micrometer,3,0.013,4.30265273,0.002516611478,0.006251609479,0.01442506919
F,Micrometer,4,0.013,3.182446305,0.002753785274,0.004381886885,0.0137186345
F,Micrometer,5,0.013,2.776445105,0.002408318916,0.002990322894,0.01333949141
F,Micrometer,6,0.013,2.570581836,0.002167948339,0.002275122252,0.0131975824
F,Micrometer,7,0.013,2.446911851,0.002058663459,0.001903946147,0.01313868376
F,Micrometer,8,0.013,2.364624252,0.002232071427,0.001866058412,0.01313324689
F,Micrometer,9,0.013,2.306004135,0.00245515331,0.001887197895,0.0131362672
F,Micrometer,10,0.013,2.262157163,0.002366431913,0.001692843412,0.01310975663
F,Micrometer,11,0.013,2.228138852,0.002252271581,0.001513096636,0.01308775999
F,Micrometer,12,0.013,2.20098516,0.002153221688,0.00136809179,0.01307178929
F,Micrometer,13,0.013,2.17881283,0.002066211695,0.001248599231,0.01305982389
F,Micrometer,14,0.013,2.160368656,0.001988980632,0.001148403227,0.01305062565
F,Micrometer,15,0.013,2.144786688,0.001922300209,0.001064534373,0.01304351308
F,Micrometer,16,0.013,2.131449546,0.001860779407,0.0009915393551,0.01303775864
F,Micrometer,17,0.013,2.119905299,0.001998160919,0.001027359545,0.01304053172
F,Micrometer,18,0.013,2.109815578,0.001976991839,0.0009831349122,0.01303712216
F,Micrometer,19,0.013,2.10092204,0.001954152873,0.0009418715354,0.01303407542
F,Micrometer,20,0.013,2.093024054,0.001905670209,0.0008918811119,0.01303055839
A,Vernier Caliper,1,0.02,1.959963986,0.01112106834,0.02179689342,0.0295821663
A,Vernier Caliper,2,0.02,12.70620474,0.01414213562,0.1270620474,0.1286264509
A,Vernier Caliper,3,0.02,4.30265273,0.06429100507,0.1597077102,0.1609551264
A,Vernier Caliper,4,0.02,3.182446305,0.06403124237,0.1018879954,0.1038323822
A,Vernier Caliper,5,0.02,2.776445105,0.06260990337,0.07774046295,0.08027191027
A,Vernier Caliper,6,0.02,2.570581836,0.05750362307,0.06034635148,0.06357422541
A,Vernier Caliper,7,0.02,2.446911851,0.05250850271,0.04856226548,0.05251945953
A,Vernier Caliper,8,0.02,2.364624252,0.04955156045,0.04142614123,0.04600136061
A,Vernier Caliper,9,0.02,2.306004135,0.04657729537,0.03580247858,0.04100996797
A,Vernier Caliper,10,0.02,2.262157163,0.04589843861,0.03283376503,0.03844549552
A,Vernier Caliper,11,0.02,2.228138852,0.04435394827,0.0297973879,0.03588710528
A,Vernier Caliper,12,0.02,2.20098516,0.04351070924,0.02764538572,0.0341213621
A,Vernier Caliper,13,0.02,2.17881283,0.0421231406,0.02545475911,0.03237197494
A,Vernier Caliper,14,0.02,2.160368656,0.04084949594,0.02358579676,0.03092393585
A,Vernier Caliper,15,0.02,2.144786688,0.03936399128,0.02179905177,0.02958375666
A,Vernier Caliper,16,0.02,2.131449546,0.03812260921,0.02031410452,0.02850724193
A,Vernier Caliper,17,0.02,2.119905299,0.03722941595,0.0191415994,0.0276839453
A,Vernier Caliper,18,0.02,2.109815578,0.03638932545,0.01809598582,0.02697155358
A,Vernier Caliper,19,0.02,2.10092204,0.03540905491,0.01706661816,0.02629200364
A,Vernier Caliper,20,0.02,2.093024054,0.03468277291,0.01623203738,0.02575808684
G,Digital Caliper,1,0.04,1.959963986,0.01487906431,0.02916243019,0.04950199324
G,Digital Caliper,2,0.04,12.70620474,0,0,0.04
G,Digital Caliper,3,0.04,4.30265273,0.01154700538,0.02868435153,0.04922186529
G,Digital Caliper,4,0.04,3.182446305,0.01,0.01591223153,0.0430487992
G,Digital Caliper,5,0.04,2.776445105,0.00894427191,0.01110578042,0.04151311069
G,Digital Caliper,6,0.04,2.570581836,0.01032795559,0.01083852468,0.04144241327
G,Digital Caliper,7,0.04,2.446911851,0.009759000729,0.009025570332,0.04100562059
G,Digital Caliper,8,0.04,2.364624252,0.009258200998,0.007740049731,0.04074197307
G,Digital Caliper,9,0.04,2.306004135,0.008819171037,0.00677901496,0.0405703715
G,Digital Caliper,10,0.04,2.262157163,0.008432740427,0.006032419101,0.0404523186
G,Digital Caliper,11,0.04,2.228138852,0.00809039835,0.005435203567,0.04036757904
G,Digital Caliper,12,0.04,2.20098516,0.007784989442,0.004946346307,0.04030466898
G,Digital Caliper,13,0.04,2.17881283,0.007510676162,0.004538656181,0.04025666901
G,Digital Caliper,14,0.04,2.160368656,0.008516306273,0.004917168847,0.04030109861
G,Digital Caliper,15,0.04,2.144786688,0.008280786712,0.004585746831,0.04026200534
G,Digital Caliper,16,0.04,2.131449546,0.008062257748,0.004296073903,0.04023004165
G,Digital Caliper,17,0.04,2.119905299,0.00785905248,0.004040751926,0.0402035779
G,Digital Caliper,18,0.04,2.109815578,0.007669649888,0.00381402716,0.04018142361
G,Digital Caliper,19,0.04,2.10092204,0.007492686493,0.00361135929,0.04016269309
G,Digital Caliper,20,0.04,2.093024054,0.007326950971,0.003429118609,0.04014671661
